name,review
rise of the earth dragon,"this was such a fun book. i loved all the different types of dragons and worm was just adorable. reading it with my son was a ton of fun and he didn't want me to stop. while it is the start to a series, it does have its own story line and plot. it's just open enough at the end to let parents know there's more to the story (which i already ordered).$a great book to introduce young readers to chapter books. the level is around late second to third grade, and most kids will enjoy the story of rory, the newest dragon master. taken from his home in the onion fields, he is brought to the king's castle and given a dragon, worm. there are several other dragon masters there, and they have their own dragons; each of whom reflects one of the four elements of earth. $this was a super quick read, but covered just enough that you want to find out more. kind of similar to how to train your dragon, but i like this one better. all the kids in bookgroup liked it.$the storyline is very simple and easy to follow. there is some magic and wonder as drake discovers that he is supposed to bond with and train with a dragon. although there is an immediate problem that is solved in this book, it looks like this is just part of a much larger story."
absolution gap,"please don't start with this book as it's number three (sort of) in the series, and the book imho is perhaps not the best way to introduce yourself to mr.reynolds. ""absolution gap"" though being a marvelous addition to the series is not as outright amazing as it's predictors, though a book you will want to read if you read the others.$this is the fourth novel i've ready by alastair reynolds, and i have to admit that while it took me a bit of time to get into the writing, the effort is never wasted. the build-up is slow but very steady, and i can honestly say that the final explosions are quite good. there's always something else to look forward to, on the other hand, and i suppose my only wish would be to have a prolific amount of works to support each one.$impressive and interesting conclusion to the revelation space trilogy. at first i was a little disappointed by the low key ending, but after a couple of days i find this perfectly human ending, very appropriate and satisfying.$this is the weakest of the revelation space novels, which is a shame, because it is the last and it ends more with a whimper than a bang. there are two main flaws; one is that it doesn't really end the story of humanity's encounter with the inhibitors at all and that feels unsatisfactory. there is a clear need for a fourth book to wrap things up properly, but we aren't going to get it. "
acccelerando,"this book starts off with a headache inducing deluge of acronyms and technogadgetideas, some of which are well known realities now. it's something that might be familiar to readers of some other stross books, for instance the ones set in a near future scotland e.g. halting state. a geek-guru makes a living from freebies given by grateful companies he puts in touch with other grateful companies in order to realise whatever mad idea he's come up with next.$this book is fantastic hard scifi in the emergent post-human genre. from what i can gather, this book has done for post-humanism what neuromancer did for cyberpunk. it's a touch dry in some places and the characters are a bit clunky, but i feel charles is most interested in describing the ""singularity"" rather than telling a traditional story.$the first third of this book is a five star white knuckle fall off the cliff ever accerating drop into the singularity. it's fascinating, breathtaking, horrifying, belivable and plausible. you're never quite sure what's coming, and you never catch your breath, but you're never completely lost either."
between_planets,"one of my favorite juvenile heinlein novels. while in school on earth, don receives a message to immediately leave school to join his parents on mars where they are station to do some sort of research as a war is brewing between earth and the new ""republic of venus"". don's trip is interrupted due to a war declaration. $heinlein's story of a young adult finishing school on earth before heading home to mars, only to find himself stranded by a war between earth and venus, has always been a favorite. i'm writing this after reading it in 2014 with the kids, and surprisingly this is probably their least favorite of the heinlein that i've introduced them to.$i thought this book was really dumb. this is probably the book i disagree with my father most over. normally i let my opinion of a book settle before judging, & if i keep thinking of it years later then that's a great book. i only keep thinking of this book as ""that bad book my father liked for some reason""$this book has an interesting story and the action never stops. however, it was obviously written in the 1950s. it is really amazing that it has held up as well as it has.$this is one of heinlein's juvenile novels. that said, there's a couple of somewhat more adult portions, so i'd recommend that younger children shouldn't read it. at least not without having some an interesting discussion or two. but, since the main character is a older teenager, it's more aimed towards that age range."
by the light of the green star  ,"the first is endemic to the series: i'm having trouble imagining the treetop cities. they're described as being jewel boxes perched on the limbs of five mile high trees, but i can't wrap my head around how a city-sized structure would sit there given the assumed scale. this would be a minor concern except that carter periodically mentions the cities and sets events there, and i can't get a good picture in my head of what this actually looks like.$the green star books was lin carter's best series in my opinion. good action and, although there are a lot of similarities to erb's work, i thought carter achieved some pretty good originality here. this is number 3 in the series.$alright, i've read better books, but i've read far worse. i don't have the rest of the series, so there's no telling if reading them would change my views. honestly, it was an enjoyable story, but there were a few things that frankly irritated me. first was the reiterating of information multiple times in the same book. it became rather monotonous hearing exactly how they got a specific item or met a certain person several times in the same book. once is enough for me to grasp it and remember it. lin also seemed to have a hard time writing the female personality.$though the first half of this book dragged (the first half of the book should have been condensed down to a few chapters) by the end i was more involved with the characters than the last book and i can't help but want to read the next. $"
cemetery world,"i loved this. a woman historian, robots who'd lived 1000s of years, ghosts, and a post-apocalyptic earth that had been reborn. the book reminded me most of peter beagle's work. there was a gentleness to the characters and the setting that despite the context made it feel comforting. it had some definite science fiction tropes but played them out in a wonderfully unique and interesting way. i am definitely going to read everything else i can find by this author.$my gosh this book was pretty terrible. i went into it with an open mind having read nothing else by this author. the whole story is a disaster, so very poorly put together that the badness at one point changes to pure laughs. sadly it is not intended to be funny...$i thought this would be a book about a visit back to old earth, where the characters would comb through the detritus of the past. possibly they would meet an old robot or hologram... i expected it to be full of sf tropes. instead it's a silly pulp action sf novel. extremely boring and doesn't resemble simak at all. $rather disappointing - i was told simak is one of the best at sci-fi, and all i saw in this book was adventures. which is not bad to read, but nothing more. not to speak about the idiotic discussions of the characters which were supposed to be a bit more intelligent than that.$lightly disappointed with the ending, but on the while a ""ripping good yarn"". a lot of detail (too muc?), delivered via expository dialogue which helps keep the page count down, but can jar a bit.seems more a product of the sixties than the seventies, surprised it was published 73, seems older than that, somehow."
citizen_of_the_galaxy,"this is considered (by most anyway) to be one of heinlein's youth or teen books. however the subject matter and the story telling are on an adult level and i don't think any science fiction fan who tries this one will be disappointed. $this book was incredibly jarring. i felt like robert heinlein had a good idea...then he had another one...then he had another one. and since he liked all three of them, he decided ""what the hell!"" and combined them. the book features a boy named thorby. at the beginning of the book, he is sold as a slave to a beggar man. the beggar man (surprise) turns out to be more then he appears. he trains up thorby and turns him into a super smart and clever beggar.$i liked this book less and less, the more i listened to it (be warned: the narrator's accents are occasionally awful) and after i finished it, the more i thought and read about it. there is a dusting of libertarian thought, not a philosophy i personally find very attractive - an anthropologist with a hideous southern accent - remember, i was listening to this - spouts some libertarian thought about mid-way through that made me scratch my head. $this is my favourite of all heinlein's juveniles. there is an added bit of sophistication to this one. heinlein's juveniles are a cut above the rest (asimov, leinster, silverberg, norton and the many other scifi authors of the fifties gave this sub-genre a shot - the appeal, i suppose, is that if the book was successful, you'd get a hardcover edition into all the public school libraries...) as he never dumb down his story or narrative to his younger audience."
an evil cradling,"it is a rare occasion that you get to read a book that manages to surprise you from beginning to end. i didn’t expect anything out of it, but i still discovered i had a number of expectations, because i discovered them whilst i was reading something that seemed to contradict what i subconsciously thought. $it is a rare occasion that you get to read a book that manages to surprise you from beginning to end. i didn’t expect anything out of it, but i still discovered i had a number of expectations, because i discovered them whilst i was reading something that seemed to contradict what i subconsciously thought.$deeply powerful and evocative, a book that takes you into the soul of despair - unlike and to the extent that no other book i have read quite compares (or at present comes to mind) - while at the same time stands as a testimony to the indefatigable human spirit of the author, which hauls his mind countless times out of the mire, regenerating from within always a renewed sense of hope, rallying with courage enough to at times strike fear into his captors.$one of the most moving and perspective shifting books i have ever read. keenan's story of captivity and exposure to a very broken segment of human society is highly topical in this day and age. anyone who would seek to defend imprisonment without trial should read and consider this man's experiences.$absolutely astonishing. the human spirit is iron strong in this true life depiction of being held hostage in beirut for four pain-staking years. his tenacity & fierce refusal to submit to senseless torture was mind-blowing. so beautifully written, i found myself re-reading paragraphs for their sheer brilliance. his mind, clearly strengthened through the horror, was remarkable."
arms and the man,"this is one of my favorite plays. i had the good fortune to see a pretty well done production at university, so i already knew the plot and language of the play. this is a superb comedy, right up there with the importance of being earnest, among the best plays of the late victorian period. this period seems to be (at least to me) the era when dry british humor really came to dominate english comedy and mark it as a distinct and recognizable genre, and shaw's play definitely maes use of that kind$the plays have a special effect on the readers. we imagine them as plays while we read understanding the dialogues the feelings the expressions. it is as if we are acting all the acts and our heart goes along with the play.and i should assure everyone this play of gb shaw is a remarkable one, with adventure, beautiful turn of events and above all the sweetness of an english romance. i am not good in rating a play, but i can't give anything less than the best to this.$what a great play. while it makes fun of the military, the chocolate-cream soldier is one i would follow into battle. if you enjoy snooty people getting their due, and love winning out, enjoy. the satire is as pointed today as it was in the 1890s.$an excellent play by shaw! the fecundity of war and the hypocrisy and pretentiousness of society have been ridiculed by such a simple and clever plot. the swiss chocolate cream soldier, captain blanchly, is a most intriguing character, in my opinion one of the most memorable in modern theatre.$i really enjoyed this play and found it to be quite humorous. i want to call it a satire, but really it is the complete opposite. shaw portrays characters so realistically without exaggerating their flaws, yet his characterization and clever dialogue expose the fact that, as sergius puts it, ""life's a farce."" "
beyond the mexique bay,"the book starts with an amazing description of what life will be in the future. after that first chapter everything goes down hill, and i felt emotional pain for each extra page i had to go through. perfect for masochists, and if you are latino and really like racism and ""malinchism"" then this book is for you.$i loved this book. it started me on a binge of huxley which i still haven't finished. the book ambles from one central american country to the next in a very leisurely manner that suggests what travel must have been like then.$it's his travelogue of a trip he took to guatemala and mexico in the early 30s. his observations of the culture and people are occasionally interesting, but on the whole shockingly arrogant, condescending and patronizing. he repeatedly emphasizes the ugliness of the indians, their goods, and their buildings, often treating them as if they were sub-human. one of the most egregious passages: ""indian men are often handsome;$i made it less than one hundred pages into this before the racism, condescension and general disgust for mankind (especially those not fortunate enough to be born into an incredibly wealthy and influential aristocratic family) became too much for me. i was looking forward to when huxley made his way towards the part of guatemala that i was once fortunate enough to call home, but despair set in when he took time away from praising colonialism to mock women from guatemala city for not keeping up"
