book name,a catskill eagle
a book of one's own,absolution gap
a catskill eagle,acccelerando
a life of one's own by joana field,an evil cradling
a tale of the ragged mountains,arms and the man
a voice of her own,between_planets
absolution gap,beyond the mexique bay
accelerando,blue remembered earth
an evil cradling,by the light of the green star  
an obedient father ,cabbages and kings
ariadne's thread,carrion comfort
arms and the man,cemetery world
at a journal workshop by ira progoff,citizen_of_the_galaxy
between planets,clouds of witness
beyond the mexique bay,cover her face
blue remembered earth,midnight's children
by the light of the green star,rise of the earth dragon
cabbages and kings,shadow lines
carrion comfort,swami and friends
cemetery world,the calcutta chromosome
citizen of the galaxy,the cricket on the hearth
clouds of witness,the daffodil sky
cover her face,the guide
dreamsnake,the hungry tide
emperors of the twilight ,train to pakistan
endless night,
fire on the mountain,
five point someone,
god of small things,
gone with the wind,
great work of time,
how to make a journal of your life by dan price,
immortals of meluha,
imperial earth ,
journal to the self,
keeping a journal you love by sheila bender,
midnight`s children,
narrative journaling,
one million tomorrows,
sacred games,
shadow lines,
stranger in a strange land ,
swami and friends,
tender is the night,
the blue umbrella,
the calcutta chromosome,
the creative journal,
the cricket on the hearth,
the daffodil sky,
the decorated page,
the dragon masters,
the eye of the heron,
the female man,
the great indian novel,
the guide,
the house of mirth,
the hungry tide,
the immortals,
the inheritance of loss ,
the journal book,
the lost planet ,
the new diary,
the palace of illusions,
the private life of the diary,
the secret of the nagas,
the void captain's tale,
the waste land,
the white tiger ,
the wives of bath,
to a god unknown,
to your scattered bodies go,
train to pakistan,
under the green star,
write for life,
