isbn,book name
9780006550686,god of small things
9780380975853,the calcutta chromosome
9780143066569,shadow lines
9780679444626,midnight's children
9780143065883,train to pakistan
9788185986005,swami and friends
9780007432974,the hungry tide
9780763762711,the guide
9798189815065,five point someone
9780061130366,sacred games
9780393337815,an obedient father 
9780824840952,the immortals
9788184000573,fire on the mountain
9781416562603,the white tiger 
9780141027289,the inheritance of loss 
9788171673407,the blue umbrella
9780140120493,the great indian novel
9781400096206,the palace of illusions
9789380658742,immortals of meluha
9781780874043,the secret of the nagas
9780874771930,a life of one's own by joana field
9780874776386,at a journal workshop by ira progoff
9781419723445,the new diary
9780804011648,the creative journal
9780895944757,ariadne's thread
9781886913028,a book of one's own
9781573223591,the journal book
9780446390385,journal to the self
9780060287047,a voice of her own
9781580080934,how to make a journal of your life by dan price
9781582970684,keeping a journal you love by sheila bender
9781579905125,the decorated page
9781582975276,write for life
9780982922804,narrative journaling
9780713905847,the private life of the diary
9780575075573,absolution gap
9781841493893,accelerando
9780450006517,between planets
9780879977429,by the light of the green star
9780399110719,cemetery world
9780140311198,citizen of the galaxy
9781590192689,the dragon masters
9780395264706,dreamsnake
9780575032118,the eye of the heron
9780886775896,emperors of the twilight 
9782221037065,the female man
9780345289155,imperial earth 
9780575006515,one million tomorrows
9781250056887,the lost planet 
9780879970307,under the green star
9781516806348,a tale of the ragged mountains
9780425052167,stranger in a strange land 
9780586039397,to your scattered bodies go
9780312868253,the void captain's tale
9780140236415,an evil cradling
9781412115599,arms and the man
9780837176970,beyond the mexique bay
9781101568507,blue remembered earth
9781484180761,cabbages and kings
9780747202370,carrion comfort
9781572702653,clouds of witness
9780307705266,a catskill eagle
9780140129588,cover her face
9781596880481,the cricket on the hearth
9781448215164,the daffodil sky
9785170119516,endless night
9784003234259,gone with the wind
9780553293197,great work of time
9781497564350,the house of mirth
9780099541523,tender is the night
9780330245791,to a god unknown
9783735101693,the waste land
9780394280448,the wives of bath
