isbn,book name
9780006550686,God of Small Things
9780380975853,The Calcutta Chromosome
9780143066569,Shadow Lines
9780679444626,Midnight`s Children
9780143065883,Train To Pakistan
9788185986005,Swami and Friends
9780007432974,The Hungry Tide
9780763762711,The Guide
9798189815065,Five Point Someone
9780061130366,Sacred Games
9780393337815,An Obedient Father 
9780824840952,The Immortals
9788184000573,Fire On The Mountain
9781416562603,The White Tiger 
9780141027289,The Inheritance Of Loss 
9788171673407,The Blue Umbrella
9780140120493,The Great Indian Novel
9781400096206,The Palace Of Illusions
9789380658742,Immortals of Meluha
9781780874043,The Secret of the Nagas
