book name,isbn
God of Small Things,9780006550686
The Calcutta Chromosome,9780380975853
Shadow Lines,9780143066569
Midnight`s Children,9780679444626
Train To Pakistan,9780143065883
Swami and Friends,9788185986005
The Hungry Tide,9780007432974
The Guide,9780763762711
Five Point Someone,9798189815065
Sacred Games,9780061130366
An Obedient Father ,9780393337815
The Immortals,9780824840952
Fire On The Mountain,9788184000573
The White Tiger ,9781416562603
The Inheritance Of Loss ,9780141027289
The Blue Umbrella,9788171673407
The Great Indian Novel,9780140120493
The Palace Of Illusions,9781400096206
Immortals of Meluha,9789380658742
The Secret of the Nagas,9781780874043
