book name,isbn
An evil cradling,9780140236415
Arms and the Man,9781412115599
Beyond the Mexique Bay,9780837176970
Blue Remembered Earth,9781101568507
Cabbages and Kings,9781484180761
Carrion Comfort,9780747202370
Clouds of Witness,9781572702653
A Catskill Eagle,9780307705266
Cover Her Face,9780140129588
The Cricket on the Hearth,9781596880481
The daffodil sky,9781448215164
Endless Night,9785170119516
Gone with the Wind,9784003234259
Great Work of Time,9780553293197
The House of Mirth,9781497564350
Tender Is the Night,9780099541523
To a God Unknown,9780330245791
The Waste Land,9783735101693
The Wives of Bath,9780394280448
